"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date"
"18-144","OQ326776","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-147","OQ326772","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-151","OQ326774","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-153","OQ326773","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-162","OQ326744","2018","Canine","Davao Region",NA,"Samal",NA,NA,"genbank",2018-01-01,2018
"18-163","OQ326747","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-164","OQ326738","2018","Canine","Davao Region",NA,"Digos",NA,NA,"genbank",2018-01-01,2018
"18-172","OQ326737","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-174","OQ326743","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-179","OQ326775","2018","Canine","Davao Region",NA,"Cotabato",NA,NA,"genbank",2018-01-01,2018
"18-181","OQ326783","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-183","OQ326777","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-188","OQ326746","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-191","OQ326768","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-194","OQ326780","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-196","OQ326779","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-199","OQ326736","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-209","OQ326781","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-214","OQ326745","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-216","OQ326742","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-221","OQ326782","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-223","OQ326778","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-224","OQ326769","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"18-225","OQ326771","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2018-01-01,2018
"19-004","OQ326740","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2019-01-01,2019
"19-011","OQ326741","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2019-01-01,2019
"19-015","OQ326739","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2019-01-01,2019
"19-022","OQ326770","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2019-01-01,2019
"19-045","OQ326763","2019","Canine","Davao Region",NA,"Davao",NA,NA,"genbank",2019-01-01,2019
"19-050","OQ326765","2019","Canine","Davao Region",NA,"Panabo",NA,NA,"genbank",2019-01-01,2019
"4A-22-203",NA,"11-Feb-22","Canis familiaris","Calabarzon","Quezon",NA,"Guiang-Guiang","Lucena","this paper",2022-02-11,2022.11232876712
"4B-22-37",NA,"1-Oct-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"San Isidro","Alcantara","this paper",2022-10-01,2022.74794520548
"4B-22-39",NA,"21-Oct-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"San Isidro","Alcantara","this paper",2022-10-21,2022.80273972603
