node	Bicol Region	Cagayan Valley	Calabarzon	Central Luzon	Central Visayas	Cordillera Administrative Region	Davao Region	Ilocos Region	National Capital Region	Northern Mindanao	Southwestern Tagalog Region
RV/R4B.PHL/2006/Z-06-197	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R4B.PHL/2006/Z-06-408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n44	0.015609869103553832	0.018639984623386122	0.1186626524872677	0.20811906382710005	0.3853131118340457	0.04452817194155484	0.023989087968946547	0.05351870547634371	0.05928793737657699	0.01728466283893557	0.05504675252228882
n1616	6.676621624414353e-05	8.177967724415829e-05	0.0005261302839437913	0.0009429199511637201	6.246691961546185e-05	0.00020201612708156853	7.651704214774787e-05	0.00022160594742803809	0.00026907505631161116	6.919043289506454e-05	0.9974815323459246
RV/R4B.PHL/2006/Z-06-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1717	0.028896822034410477	0.029721878953089552	0.16266323585119832	0.262330182544909	0.05319672480347061	0.05548977235612647	0.10520124556485563	0.11609146460491808	0.07365790883138228	0.04304063987988093	0.06971012457575868
n11	0.024201837626870018	0.029649295945491868	0.20781905423781058	0.3419313444778982	0.01754721301409618	0.07325783312104849	0.027669227248763504	0.08031031831941032	0.09757588766173322	0.02506838445709814	0.07496960388977962
Z-14-149	0.024331525525658322	0.029813452084256148	0.204237903999814	0.3438992289549332	0.01751799342850224	0.07368011011521085	0.027750434997780734	0.08072189621919673	0.09813857415203318	0.025190533821813847	0.07471834670080077
RV/R4A.PHL/2006/Z-06-345	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R4A.PHL/2006/Z-06-197	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n5	6.787778316887262e-05	8.29954111957224e-05	0.0005335696927420214	0.000954872115592667	0.9973003173417911	0.00020455849246202404	7.964343796851383e-05	0.00022581396743409133	0.0002724548898227264	7.06788777089941e-05	0.00020721799011319837
n1111	1.9568012194114648e-05	2.3951678255030602e-05	0.00015405005348886693	0.0002759289430542842	0.99922137539179	5.9114390623880434e-05	2.263569083165062e-05	6.500758757586043e-05	7.873658516017235e-05	2.0316634272096233e-05	5.931503275387436e-05
RV/R4B.PHL/2013/TRa-487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RV/R4B.PHL/2013/TRa-486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n18	0.00511718266889102	0.006072526112587626	0.03807455309360802	0.06724904332233465	0.004768735027506413	0.014383229569844367	0.6330804589531217	0.017679449947283103	0.019149055870975703	0.1796685662928357	0.014757199141011677
n4848	0.08941616956426629	0.06557857123185111	0.15669267851762345	0.13359543408745309	0.006553839794502245	0.023097258918701614	0.011444222645076683	0.45309939973064167	0.02881532733090781	0.010919398800619288	0.020787699378356644
n2	0.024235788085033117	0.029692269701512307	0.20688155974166386	0.3424465088088158	0.01753956373974199	0.07336837926727721	0.02769048628920821	0.08041806359401273	0.0977231910287116	0.02510036143363317	0.07490382831039016
Z-16-209	0.024376109077217562	0.029869884980037058	0.2030067914768349	0.3445757398697083	0.017507948444251294	0.07382527869545173	0.027778352250655884	0.08086338671050099	0.09833201210874594	0.02523252580834932	0.07463197057824708
n55	2.988315905364757e-08	3.659153938591677e-08	2.3538230539249927e-07	4.217400652961827e-07	0.9999988107369517	9.035438410124724e-08	3.4391394909106585e-08	9.922648023344424e-08	1.2034687440299176e-07	3.09943408783524e-08	9.035250449947087e-08
n7	1.1976098347586888e-10	1.467071065845557e-10	9.438832337040672e-10	1.6917591476009151e-09	0.999999995233014	3.6245337629407657e-10	1.3704892729968385e-10	3.974459469608769e-10	4.827698996558289e-10	1.2407260938919077e-10	3.610847753584906e-10
n12	4.276050068183307e-07	5.237131388864283e-07	3.369193262711835e-06	6.037766085852587e-06	0.9999829809556131	1.2935569932261397e-06	4.906356631505498e-07	1.4194406119162344e-06	1.722949132230695e-06	4.4323654200997164e-07	1.2909479501701078e-06
n13	1.3802446358159833e-22	1.6914848240836541e-22	1.0884462280136808e-21	1.9515149048156885e-21	1.0	4.181137489715689e-22	1.5707676694768413e-22	4.578121048039488e-22	5.569097952966634e-22	1.4283519741601887e-22	4.1501368325350544e-22
n1818	0.0006640801491328625	0.0008068235328794203	0.005156041341873464	0.009209382566647792	0.0005110024989714044	0.0019722385337919445	0.3124265327805741	0.0022275966411598514	0.002626627857103764	0.6624286229975918	0.0019710511002735912
n2828	0.0015391867367846202	0.0018528999556610092	0.01175427621564531	0.020904987806453303	0.0012828725528752946	0.004474721246755316	0.9113759421090843	0.005224008251644388	0.00595866086935621	0.03111507670696466	0.004517367548775691
n49	0.012680265285920233	0.01142059579761162	0.7804880447240573	0.07344158172172452	0.0036572621575047693	0.015217647682488827	0.005952323825930669	0.05671093956601315	0.02008678766974764	0.005475496858030492	0.014869054710970853
n50	0.11453585055351093	0.08105351799979855	0.06667911944440372	0.09537282964024918	0.0026666439050044557	0.012985484490029817	0.004581080642085572	0.5908751379968709	0.014668672473954801	0.007255122077308845	0.009326540776783286
Z-12-212	0.0242981964241031	0.02977126482799782	0.20515824060085264	0.34339349309062484	0.017525502706891054	0.07357158716932023	0.027729565037365348	0.08061612288376584	0.09799396671098297	0.025159142083497843	0.07478291846459828
Z-14-146	0.024331526002958733	0.029813452688412692	0.20423789081982968	0.34389923619749074	0.017517993320963144	0.07368011166934955	0.0277504352966559	0.08072189773395874	0.09813857622293184	0.02519053427136962	0.0747183457760795
n6	3.0931304462710025e-07	3.7917704781343816e-07	2.4402511949624314e-06	4.376303800268134e-06	0.999987684343728	9.37641303311782e-07	3.505476557344912e-07	1.025548496970103e-06	1.248903577484766e-06	3.198283912849914e-07	9.281417595560458e-07
RV/R7.PHL/2008/TRa-099	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n66	1.315632691311951e-13	1.612792696903991e-13	1.037937197943081e-12	1.8614187162128454e-12	0.9999999999947616	3.988167111809819e-13	1.4910159755757014e-13	4.36206877958946e-13	5.312091275534711e-13	1.3603579439724663e-13	3.947754594328229e-13
n77	8.251663610806719e-08	1.0115456413331487e-07	6.509955839669721e-07	1.1674844498308166e-06	0.9999967145042651	2.5013840718854247e-07	9.351647055838989e-08	2.735894003262583e-07	3.331751193932337e-07	8.532176819317871e-08	2.4760333537827575e-07
n8	1.7635320355226653e-19	2.161858782940927e-19	1.3912971038922474e-18	2.4951286533930145e-18	1.0	5.345917088677871e-19	1.9986186777072013e-19	5.847107860700573e-19	7.120564108174838e-19	1.8234828557580696e-19	5.2917379166337955e-19
n88	5.739319905094611e-19	7.035652821638293e-19	4.527901392525505e-18	8.120261639489488e-18	1.0	1.73979988580906e-18	6.50439672701299e-19	1.902909721368062e-18	2.3173491875684978e-18	5.934426620635681e-19	1.7221675704253465e-18
n10	3.4315339896944754e-15	4.206610225688996e-15	2.7072279975860867e-14	4.855096822011485e-14	0.9999999999998634	1.0402247207802866e-14	3.888972694990349e-15	1.137747937857448e-14	1.3855409068919556e-14	3.5481881103107746e-15	1.029682374349014e-14
RV/R7.PHL/2008/TRa-083	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1212	1.1821825752402686e-09	1.449190668536253e-09	9.32646083334776e-09	1.6725822365501192e-08	0.9999999529301651	3.5835758693040782e-09	1.3398996692275877e-09	3.9196405529616235e-09	4.773190254708546e-09	1.222393624047086e-09	3.5474785111523507e-09
n1313	2.747151914915764e-09	3.3676476409114603e-09	2.1673008653065523e-08	3.8868006533125974e-08	0.9999998906189548	8.327632326790442e-09	3.1133594225678515e-09	9.108365042025151e-09	1.1092098674390577e-08	2.8405406362998066e-09	8.243234370419168e-09
n14	2.252787800804236e-12	2.7616221300543354e-12	1.7772839294126796e-11	3.1873508881684924e-11	0.9999999999103026	6.829032065360591e-12	2.5530943842597216e-12	7.469267913629452e-12	9.096018477649477e-12	2.329370741530733e-12	6.7598219552484805e-12
RV/R7.PHL/2009/TRa-235	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-084	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-240	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1515	9.401606851823055e-10	1.1525135891980609e-09	7.417176514555042e-09	1.3301838698998387e-08	0.9999999625664102	2.8499743577310285e-09	1.0654882651547616e-09	3.1171653348713704e-09	3.7960605793963e-09	9.721212053879794e-10	2.8210907564786974e-09
n16	2.15245437164217e-12	2.6386265162378527e-12	1.6981282312288798e-11	3.045394400105782e-11	0.9999999999142974	6.5248843756710746e-12	2.4393860649693986e-12	7.136605750403472e-12	8.690904988816538e-12	2.225626503301048e-12	6.458756707534969e-12
n19	0.0009136716419808819	0.0011169208196814395	0.007172451719068202	0.012846869376649549	0.0006636494795646449	0.002752103649391982	0.34358535341285995	0.0030404397961994955	0.003665562259220411	0.6215106751492945	0.0027323026960888695
n21	0.0005421651346921612	0.0006630539583933068	0.004259308435883937	0.007630483246724607	0.00039218048055160936	0.0016346658788681256	0.06806461696585195	0.00180316689357814	0.002177245099788785	0.9112109461704971	0.001622167735170121
n29	0.00043285823202501064	0.0005266224877176131	0.003369059347761315	0.006021372728683638	0.00032893075898256127	0.0012896015919679755	0.9796464721365272	0.001449416159432384	0.0017175243933878522	0.003931227107018391	0.0012869150564961559
