"Sample.ID","X","X.1","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak"
"94275PHI",NA,NA,NA,"",1994,"Philippines","SEA4","KX148263","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other"
"94278PHI",NA,NA,NA,"",1994,"Philippines","SEA4","KX148262","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other"
"94281PHI",NA,NA,NA,"",1994,"Philippines","SEA4","KX148261","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other"
"BAI/BAI3/2019-01/fel",NA,NA,"National Capital Region","Bulacan",2019,"Philippines","SEA4","MN857171","2019","feline",NA,NA,"San Miguel, Bulacan","rabv-glue","01/01/2019",2019,"Other"
"BAI/BAI4A/2019-01/can",NA,NA,"Calabarzon","Rizal",2019,"Philippines","SEA4","MN857170","2019","Canis familiaris",NA,NA,"Angono, Rizal","rabv-glue","01/01/2019",2019,"Other"
"BAI/BAINCR/2019-01/can",NA,NA,"National Capital Region","Metropolitan Manila",2019,"Philippines","SEA4","MN857167","2019","Canis familiaris",NA,NA,"Caloocan City","rabv-glue","01/01/2019",2019,"Other"
"BAI/BAINCR/2019-02/can",NA,NA,"National Capital Region","Metropolitan Manila",2019,"Philippines","SEA4","MN857168","2019","Canis familiaris",NA,NA,"Quezon City","rabv-glue","01/01/2019",2019,"Other"
"BAI/BAINCR/2019-03/can",NA,NA,"National Capital Region","Metropolitan Manila",2019,"Philippines","SEA4","MN857169","2019","Canis familiaris",NA,NA,"Pasay City","rabv-glue","01/01/2019",2019,"Other"
"R1-21-148",NA,NA,"Ilocos Region","Pangasinan",2022,"Philippines","SEA4",NA,"10/04/2021","Canis familiaris",NA,"Malibong","Urbiztondo","this paper","10/04/2021",2021.756164,"Other"
"R10-688",NA,NA,"Northern Mindanao","Bukidnon",2021,"Philippines","SEA4",NA,"02/07/2021","Canis familiaris",NA,NA,"Malaybalay","this paper","02/07/2021",2021.10137,"Other"
"R10-711",NA,NA,"Northern Mindanao","Misamis Oriental",2022,"Philippines","SEA4",NA,"12/07/2021","Canis familiaris",NA,"Balulang","Cagayan de Oro","this paper","12/07/2021",2021.931507,"Other"
"R10-714",NA,NA,"Northern Mindanao","Misamis Oriental ",2022,"Philippines","SEA4",NA,"11/07/2021","Canis familiaris",NA,"Bonbon","Opol","this paper","11/07/2021",2021.849315,"Other"
"R10-824",NA,NA,"Northern Mindanao","Misamis Oriental ",2022,"Philippines","SEA4",NA,"09/09/2021","Canis familiaris",NA,"Bulua","Cagayan de Oro","this paper","09/09/2021",2021.687671,"Other"
"R10-856",NA,NA,"Northern Mindanao","Misamis Oriental",2022,"Philippines","SEA4",NA,"27/09/2021","Canis familiaris",NA,NA,"Manticao","this paper","9/27/21",2021.736986,"Other"
"R10-907",NA,NA,"Northern Mindanao","Misamis Oriental",2022,"Philippines","SEA4",NA,"25/10/2021","Canis familiaris",NA,"Gango","Libona","this paper","10/25/21",2021.813699,"Other"
"R10-920",NA,NA,"Northern Mindanao","Bukidnon",2022,"Philippines","SEA4",NA,"26/10/2021","Canis familiaris",NA,"Agusan","Cagayan de Oro","this paper","10/26/21",2021.816438,"Other"
"R10-989",NA,NA,"Northern Mindanao","Misamis Oriental",2022,"Philippines","SEA4",NA,"25/11/2021","Canis familiaris",NA,"Barangay 1","Gingoog","this paper","11/25/21",2021.89863,"Other"
"R10-990",NA,NA,"Northern Mindanao","Misamis Oriental",2022,"Philippines","SEA4",NA,"25/11/2021","Canis familiaris",NA,"Agay-Ayan","Gingoog","this paper","11/25/21",2021.89863,"Other"
"R11-21-61",NA,NA,"Bangsamoro","Misamis Oriental",2022,"Philippines","SEA4",NA,"11/08/2021","Canis familiaris",NA,NA,"Midsayap","this paper","11/08/2021",2021.852055,"Other"
"R11-21-63",NA,NA,"Davao Region","Cotabato",2021,"Philippines","SEA4",NA,"04/10/2021","Canis familiaris",NA,NA,"Tagum","this paper","04/10/2021",2021.271233,"Other"
"R11-22-002",NA,NA,"Davao Region","Davao Del Norte",2022,"Philippines","SEA4",NA,"05/01/2022","Canis familiaris",NA,"Talomo","Davao","this paper","05/01/2022",2022.328767,"Other"
"R2-081",NA,NA,"Cagayan Valley","Cagayan",2021,"Philippines","SEA4",NA,"31/08/2020","Canis familiaris",NA,"Ugac Norte","Tuguegarao","this paper","8/31/20",2020.663934,"Other"
"R3-731",NA,NA,"Central Luzon","Nueva Ecija",2022,"Philippines","SEA4",NA,"09/12/2021","Canis familiaris",NA,"Sangitan","Cabanatuan","this paper","09/12/2021",2021.69589,"Other"
"R5-09",NA,NA,"Bicol Region","Albay",2022,"Philippines","SEA4",NA,"07/02/2022","Felis catus",NA,"Bauud","Malilipot","this paper","07/02/2022",2022.49863,"Other"
"R5-21-115",NA,NA,"Bicol Region","Camarines Norte",2022,"Philippines","SEA4",NA,"28/09/2021","Canis familiaris",NA,"Pob. III","Vinzons","this paper","9/28/21",2021.739726,"Other"
"R5-21-119",NA,NA,"Bicol Region","Sorsogon",2022,"Philippines","SEA4",NA,"15/10/2021","Canis familiaris",NA,"San Pedro","Irosin","this paper","10/15/21",2021.786301,"Other"
"R5-21-128",NA,NA,"Bicol Region","Camarines Sur",2022,"Philippines","SEA4",NA,"09/11/2021","Canis familiaris",NA,"Cararayan","Naga","this paper","09/11/2021",2021.693151,"Other"
"R5-21-132",NA,NA,"Bicol Region","Albay",2022,"Philippines","SEA4",NA,"15/11/2021","Canis familiaris",NA,"Labnig","Malinao","this paper","11/15/21",2021.871233,"Other"
"R5-21-136",NA,NA,"Bicol Region","Albay",2021,"Philippines","SEA4",NA,"02/12/2021","Canis familiaris",NA,NA,"Libon","this paper","02/12/2021",2021.115068,"Other"
"R5-21-140",NA,NA,"Bicol Region","Camarines Norte",2022,"Philippines","SEA4",NA,"10/12/2021","Canis familiaris",NA,"Calang Calawan","Vinzons","this paper","10/12/2021",2021.778082,"Other"
"R5-22-008",NA,NA,"Bicol Region","Albay",2022,"Philippines","SEA4",NA,"02/02/2022","Canis familiaris",NA,"Sto. Cristo","Tabaco","this paper","02/02/2022",2022.087671,"Other"
"R6-21-4375",NA,NA,"Western Visayas","Iloilo",2021,"Philippines","SEA4",NA,"01/10/2021","Canis familiaris",NA,"Labigan","Sara","this paper","01/10/2021",2021.024658,"Other"
"R6-21-4511",NA,NA,"Western Visayas","Antique",2022,"Philippines","SEA4",NA,"08/10/2021","Canis familiaris",NA,"San Isidro","Tibiao","this paper","08/10/2021",2021.605479,"Other"
"R6-21-4600",NA,NA,"Western Visayas","Iloilo",2022,"Philippines","SEA4",NA,"14/10/2021","Canis familiaris",NA,"Jibao-An","Pavia","this paper","10/14/21",2021.783562,"Other"
"R6-4342",NA,NA,"Western Visayas","Iloilo",2022,"Philippines","SEA4",NA,"30/09/2021","Bos taurus",NA,"Cabanban","Oton","this paper","9/30/21",2021.745205,"Other"
"R6-4568",NA,NA,"Western Visayas","Guimaras",2022,"Philippines","SEA4",NA,"13/10/2021","Canis familiaris",NA,"Avila","Buenavista","this paper","10/13/21",2021.780822,"Other"
"R7-21-161",NA,NA,"Central Visayas","Cebu",2022,"Philippines","SEA4",NA,"18/10/2021","Canis familiaris",NA,"Pusok","Lapu lapu","this paper","10/18/21",2021.794521,"Other"
"R9-010",NA,NA,"Zamboanga Peninsula","Zamboanga Del Sur",2020,"Philippines","SEA4",NA,"27/01/2020","Felis catus",NA,"San Roque","Zamboanga","this paper","1/27/20",2020.071038,"Other"
"R9-074",NA,NA,"Zamboanga Peninsula","Zamboanga Del Sur",2022,"Philippines","SEA4",NA,"20/08/2021","Canis familiaris",NA,"Cogon","Sagun","this paper","8/20/21",2021.632877,"Other"
"R9-089",NA,NA,"Zamboanga Peninsula","Zamboanga Sibugay",2022,"Philippines","SEA4",NA,"07/10/2021","Canis familiaris",NA,"Pangi","Ipil","this paper","07/10/2021",2021.520548,"Other"
"R9-105",NA,NA,"Zamboanga Peninsula","Zamboanga Del Norte",2022,"Philippines","SEA4",NA,"09/12/2021","Canis familiaris",NA,"Lopoc","Labason","this paper","09/12/2021",2021.69589,"Other"
"RADDL1-16-153",NA,NA,"Ilocos Region ","Pangasinan",2017,"Philippines","SEA4",NA,"18/07/2016","Canis familiaris",NA,"Real","Urbiztondo","this paper","7/18/16",2016.543716,"Other"
