"Longitude","Latitude","Loc_ID","Type"
120.837097784784,16.6217295951809,"Benguet-Kabayan","Municipality"
120.597342373492,16.602935716723,"Benguet-Kapangan","Municipality"
120.687390197512,16.6963871281664,"Benguet-Kibungan","Municipality"
120.595366816815,16.4744688961284,"Benguet-La Trinidad","Municipality"
120.788438292852,16.8549257806476,"Benguet-Mankayan","Municipality"
120.51749588059,16.4956183665743,"Benguet-Sablan","Municipality"
120.564570633667,16.3196189681075,"Benguet-Tuba","Municipality"
120.633313703089,16.5112067410779,"Benguet-Tublay","Municipality"
124.413079686238,11.6388817772894,"Biliran-Almeria","Municipality"
124.482643635192,11.5122830618431,"Biliran-Biliran","Municipality"
124.56347911826,11.5007642633682,"Biliran-Cabucgayan","Municipality"
124.552919207845,11.560029930204,"Biliran-Caibiran","Municipality"
124.507288588523,11.6421826890913,"Biliran-Culaba","Municipality"
124.405278756621,11.68268305296,"Biliran-Kawayan","Municipality"
124.323368452486,11.7889350960659,"Biliran-Maripipi","Municipality"
124.444088749053,11.5773010159759,"Biliran-Naval","Municipality"
123.965386389444,9.63421975946452,"Bohol-Albuquerque","Municipality"
124.429661336706,9.90198958095474,"Bohol-Alicia","Municipality"
124.557863404766,9.76307889073763,"Bohol-Anda","Municipality"
123.908167201608,9.7853541183063,"Bohol-Antequera","Municipality"
123.918564503975,9.64133819113652,"Bohol-Baclayon","Municipality"
123.996763565498,9.76820696806236,"Bohol-Balilihan","Municipality"
124.12496411111,9.80368526866346,"Bohol-Batuan","Municipality"
124.369241790416,10.1167472435699,"Bohol-Bien Unido","Municipality"
124.118131363103,9.71814831107929,"Bohol-Bilar","Municipality"
124.165460743249,10.0456072492217,"Bohol-Buenavista","Municipality"
123.894057419984,9.87767998095098,"Bohol-Calape","Municipality"
124.492360578209,9.82525210700067,"Bohol-Candijay","Municipality"
124.20325118359,9.83127942918433,"Bohol-Carmen","Municipality"
124.031078059882,9.84820276933739,"Bohol-Catigbian","Municipality"
124.03450530091,9.93876667249815,"Bohol-Clarin","Municipality"
123.928576496236,9.68592809077405,"Bohol-Corella","Municipality"
123.9005089588,9.71825555998744,"Bohol-Cortes","Municipality"
124.282275048233,9.90680027018915,"Bohol-Dagohoy","Municipality"
124.207782834946,9.96126348257195,"Bohol-Danao","Municipality"
123.831721183152,9.61003796430922,"Bohol-Dauis","Municipality"
124.156879191078,9.64767346805893,"Bohol-Dimiao","Municipality"
124.385604867758,9.74501373857682,"Bohol-Duero","Municipality"
124.28078228271,9.66396370587717,"Bohol-Garcia Hernandez","Municipality"
124.45696013132,9.77553199377717,"Bohol-Guindulman","Municipality"
124.095147064073,10.0060257690576,"Bohol-Inabanga","Municipality"
124.340652888065,9.69716862659405,"Bohol-Jagna","Municipality"
124.188158805084,10.1133438678694,"Bohol-Jetafe","Municipality"
124.098139951015,9.61045219994024,"Bohol-Lila","Municipality"
124.017239729169,9.61182025054093,"Bohol-Loay","Municipality"
124.043689461614,9.6463286658127,"Bohol-Loboc","Municipality"
123.828313198644,9.81369907136444,"Bohol-Loon","Municipality"
124.52171086043,9.9050801109896,"Bohol-Mabini","Municipality"
123.854988215563,9.75299585869353,"Bohol-Maribojoc","Municipality"
123.776343998691,9.58054741220026,"Bohol-Panglao","Municipality"
124.351185802351,9.85781167456653,"Bohol-Pilar","Municipality"
124.565517151424,10.1027102324688,"Bohol-Pres. Carlos P. Garcia","Municipality"
124.091570307946,9.90979265118602,"Bohol-Sagbayan","Municipality"
123.949209237442,9.84375505689257,"Bohol-San Isidro","Municipality"
124.336667934269,9.98343607165925,"Bohol-San Miguel","Municipality"
124.040770466297,9.71019159180662,"Bohol-Sevilla","Municipality"
124.288572108895,9.78841766394298,"Bohol-Sierra Bullones","Municipality"
123.98193602631,9.68378343509139,"Bohol-Sikatuna","Municipality"
123.869468045022,9.66295147088695,"Bohol-Tagbilaran City","Municipality"
124.277993127602,10.1116473508428,"Bohol-Talibon","Municipality"
124.327717473636,10.0524337606814,"Bohol-Trinidad","Municipality"
123.967725776616,9.9208064833343,"Bohol-Tubigon","Municipality"
124.466603790301,10.009412560783,"Bohol-Ubay","Municipality"
124.21698784319,9.66311485610374,"Bohol-Valencia","Municipality"
124.719221255341,8.25676840203039,"Bukidnon-Baungon","Municipality"
125.312732065983,8.06692052148581,"Bukidnon-Cabanglasan","Municipality"
124.965964681684,7.45221155027233,"Bukidnon-Damulog","Municipality"
125.013939243912,7.58895097362605,"Bukidnon-Dangcagan","Municipality"
124.931317534107,7.69445205359143,"Bukidnon-Don Carlos","Municipality"
125.118922123,8.41046877152395,"Bukidnon-Impasug-Ong","Municipality"
124.874789359775,7.53930906273881,"Bukidnon-Kadingilan","Municipality"
124.717507057146,7.79859060754185,"Bukidnon-Kalilangan","Municipality"
125.040307188176,7.51700680330208,"Bukidnon-Kibawe","Municipality"
125.084379267429,7.60065032138301,"Bukidnon-Kitaotao","Municipality"
