node	Albay	Aurora	Batangas	Benguet	Bulacan	Cagayan	Camarines Norte	Camarines Sur	Catanduanes	Cavite	Cebu	Davao del Sur	Ifugao	Ilocos Sur	Isabela	Kalinga	La Union	Laguna	Lanao del Norte	Metropolitan Manila	Misamis Oriental	Mountain Province	Negros Oriental	Nueva Ecija	Nueva Vizcaya	Oriental Mindoro	Palawan	Pampanga	Pangasinan	Quezon	Rizal	Romblon	Sorsogon	Tarlac	Zambales
RV/R1.PHL/2013/TRa-569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/CAR.PHL/2013/TRa-407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R1.PHL/2013/TRa-406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R1.PHL/2010/TRa-286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R1.PHL/2009/TRa-265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n6464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R3.PHL/2008/TRa-045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n65	7.287353200939527e-09	1.7495166810962783e-09	1.6355836307920413e-08	1.7486550944187983e-09	1.5189037996898672e-08	6.269185493226033e-09	5.237724422104993e-09	4.159745336227923e-09	3.567450323730197e-09	1.7785045594712488e-08	1.9020391975801538e-09	1.7487843012504034e-09	7.008541976957463e-09	6.409340068650631e-09	1.8341617266581062e-09	4.166472182356462e-09	6.998962229241392e-09	1.2003291361817815e-08	3.4734560530756454e-09	7.936964673988764e-09	6.350363718489013e-09	3.716307368677154e-09	1.8846238674372527e-09	3.5450644884503365e-08	5.218317695326399e-09	3.4734548394246085e-09	1.8133710280718798e-09	0.9999997613012116	8.060086853120398e-09	5.232985865351125e-09	3.4734421384469754e-09	7.04410909785803e-09	3.529656954645375e-09	1.2348373169615875e-08	8.271486731572597e-09
RV/R3.PHL/2008/TRa-022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R3.PHL/2008/TRa-064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R3.PHL/2008/TRa-019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n67	6.882347205084642e-06	1.6523451940017318e-06	1.544547798532436e-05	1.6513018427179727e-06	1.4344395665148831e-05	5.922092192081883e-06	4.946225020455422e-06	3.929318463474257e-06	3.369793143879549e-06	1.6956247686782795e-05	1.7961466338897062e-06	1.6514239907508466e-06	6.618670901771069e-06	6.059038842774696e-06	1.734238677158732e-06	3.934803252800776e-06	6.610353471903154e-06	1.1345524281357268e-05	3.2800775861261405e-06	7.871917195668515e-06	5.9968205071980624e-06	3.5114983240150035e-06	1.779700821263492e-06	0.8695187877406868	4.927987913956283e-06	3.280076513334538e-06	1.7124148405114672e-06	0.07483465397134591	7.690304343304592e-06	4.941648716177224e-06	3.280807540079737e-06	6.679240736259078e-06	3.333662661603654e-06	0.055465346374585896	8.076011230394487e-06
n69	0.00020970844108594744	5.035073122100998e-05	0.0004705645506271921	5.030766801060511e-05	0.00043705671144230726	0.00018051411272540304	0.00015069399911194184	0.00011976540772877239	0.00010270913574604011	0.0005245003158757059	5.472043465033442e-05	5.031139591175647e-05	0.00020165640511853958	0.00018491181033218797	5.294190999534114e-05	0.00011988991814520482	0.00020143879495302267	0.0003461617648597195	9.992906807479915e-05	0.0002583192696339924	0.00018269598320715997	0.00010708198754341495	5.421940297584047e-05	0.9753156438514601	0.00015014277521345972	9.992903898943254e-05	5.216950392309499e-05	0.01628518701342548	0.00023816405467959553	0.00015054959463333916	9.998778330561878e-05	0.00020482622176003115	0.00010158674690661213	0.00283231532676756	0.0002590488699594385
n70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R3.PHL/2012/TRa-305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n72	1.912011813618967e-24	4.592270818922546e-25	1.0634463989441533e-20	2.3354854801231342e-23	3.9851651462280134e-24	1.6492346935574055e-24	1.3729111765111848e-24	1.0939006881968875e-24	9.38010937327064e-25	6.592771189989162e-12	4.984410170312307e-25	4.58279851310445e-25	1.837673242923196e-24	1.7010789783874712e-24	4.878595915051375e-25	1.0928095151561764e-24	1.837560945244573e-24	9.873218907136961e-23	9.102399792253088e-25	0.9999999999934072	1.6641573114350007e-24	9.807552232613713e-25	4.938770611903368e-25	9.704690493550882e-24	1.3681189205105778e-24	9.102399022879261e-25	4.752047747032534e-25	1.8382780712164542e-23	2.371910646144268e-24	1.561959865978091e-22	9.126808877634338e-25	2.8816860618870105e-24	9.266555711617811e-25	3.241580376158972e-24	3.0394442480598914e-24
