"Sample.ID","X","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak","id_case","membership","lineage","lineage_chain","maddog"
"18-221",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326782","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-223",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326778","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-224",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326769","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"18-225",NA,"Davao Region","Davao del Sur",2018,"Philippines","SEA4","OQ326771","2018","Canine","Davao",NA,NA,"genbank","01/01/2018",2018,"Other",NA,NA,NA,NA,NA
"19-004",NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326740","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"19-011",NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326741","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"19-015",NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326739","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"19-022",NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326770","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"19-045",NA,"Davao Region","Davao del Sur",2019,"Philippines","SEA4","OQ326763","2019","Canine","Davao",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"19-050",NA,"Davao Region","Davao del Norte",2019,"Philippines","SEA4","OQ326765","2019","Canine","Panabo",NA,NA,"genbank","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"4A-22-104",NA,"Calabarzon","Batangas",2022,"Philippines","SEA4",NA,"25/01/2022","Canis familiaris",NA,"Sabang","Lipa","this paper","1/25/22",2022.065753,"Other",NA,NA,NA,NA,NA
"4A-22-171",NA,"Calabarzon","Cavite",2022,"Philippines","SEA4",NA,"06/02/2022","Canis familiaris",NA,"Buenavista","General Trias","this paper","06/02/2022",2022.416438,"Other",NA,NA,NA,NA,NA
"4A-22-203",NA,"Calabarzon","Quezon",2023,"Philippines","SEA4",NA,"11/02/2022","Canis familiaris",NA,"Guiang-Guiang","Lucena","this paper","11/02/2022",2022.835616,"Other",NA,NA,NA,NA,NA
"4A-22-40",NA,"Calabarzon","Batangas",2023,"Philippines","SEA4",NA,"10/01/2022","Canis familiaris",NA,NA,"Batangas","this paper","10/01/2022",2022.747945,"Other",NA,NA,NA,NA,NA
"4A-22-98",NA,"Calabarzon","Quezon",2022,"Philippines","SEA4",NA,"22/01/2022","Canis familiaris",NA,"Baguio","Tayabas","this paper","1/22/22",2022.057534,"Other",NA,NA,NA,NA,NA
"4B-21-126",NA,"Southwestern Tagalog Region","Oriental Mindoro",2021,"Philippines","SEA4",NA,"26/01/2021","Canis familiaris",NA,"Sapul","Calapan","this paper","1/26/21",2021.068493,"Oriental Mindoro_new",NA,NA,NA,NA,NA
"4B-21-29",NA,"Southwestern Tagalog Region","Oriental Mindoro",2022,"Philippines","SEA4",NA,"09/02/2021","Canis familiaris",NA,"San Narciso","Victoria","this paper","09/02/2021",2021.668493,"Oriental Mindoro_new",NA,NA,NA,NA,NA
