Sample.ID,,Region,Province,year,country,assignment,NCBI.accession,Sample.collection.date,Host.species,Municipality,Barangay,Location,source,corrected_date,decimal_date,outbreak
RV/NCR.PHL/2004/Z-04-534,,National Capital Region,Metropolitan Manila,2004,Philippines,SEA4,AB563799,2004,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2004,2004,Other
RV/NCR.PHL/2004/Z-04-646,,National Capital Region,Metropolitan Manila,2004,Philippines,SEA4,AB733963,2004,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2004,2004,Other
RV/NCR.PHL/2005/Z-05-009,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563800,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-090,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563803,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-149,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563805,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-168,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563806,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-187,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563808,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-285,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563810,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-299,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563811,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-373,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563812,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-396,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563813,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-424,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563814,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-465,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563815,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/NCR.PHL/2005/Z-05-466,,National Capital Region,Metropolitan Manila,2005,Philippines,SEA4,AB563816,2005,Canis lupus familiaris,NA,NA,"NCR, Metro Manila",rabv-glue,01/01/2005,2005,Other
RV/R1.PHL/2008/TRa-094,,Ilocos Region,Pangasinan,2008,Philippines,SEA4,AB563909,2008,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2008,2008,Other
RV/R1.PHL/2009/TRa-150,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563951,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-151,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563952,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-153,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563953,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-154,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563954,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-156,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB683601,2009,Canis lupus familiaris,NA,NA,"Region 1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-157,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563955,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-159,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563956,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-161,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563957,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-208,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563981,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
RV/R1.PHL/2009/TRa-209,,Ilocos Region,Pangasinan,2009,Philippines,SEA4,AB563982,2009,Canis lupus familiaris,NA,NA,"Region1, Pangasinan",rabv-glue,01/01/2009,2009,Other
